CustomerKey,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,AddressLine1,AddressLine2,Phone
11000.0,Jon,V,Yang,0.0,1971-10-06,M,,M,jon24@adventure-works.com,90000.0,2.0,3761 N. 14th St,,1 (11) 500 555-0162
11001.0,Eugene,L,Huang,0.0,1976-05-10,S,,M,eugene10@adventure-works.com,60000.0,3.0,2243 W St.,,1 (11) 500 555-0110
11002.0,Ruben,,Torres,0.0,1971-02-09,M,,M,ruben35@adventure-works.com,60000.0,3.0,5844 Linden Land,,1 (11) 500 555-0184
11003.0,Christy,,Zhu,0.0,1973-08-14,S,,F,christy12@adventure-works.com,70000.0,0.0,1825 Village Pl.,,1 (11) 500 555-0162
11004.0,Elizabeth,,Johnson,0.0,1979-08-05,S,,F,elizabeth5@adventure-works.com,80000.0,5.0,7553 Harness Circle,,1 (11) 500 555-0131
11005.0,Julio,,Ruiz,0.0,1976-08-01,S,,M,julio1@adventure-works.com,70000.0,0.0,7305 Humphrey Drive,,1 (11) 500 555-0151
11006.0,Janet,G,Alvarez,0.0,1976-12-02,S,,F,janet9@adventure-works.com,70000.0,0.0,2612 Berry Dr,,1 (11) 500 555-0184
11007.0,Marco,,Mehta,0.0,1969-11-06,M,,M,marco14@adventure-works.com,60000.0,3.0,942 Brook Street,,1 (11) 500 555-0126
11008.0,Rob,,Verhoff,0.0,1975-07-04,S,,F,rob4@adventure-works.com,60000.0,4.0,624 Peabody Road,,1 (11) 500 555-0164
11009.0,Shannon,C,Carlson,0.0,1969-09-29,S,,M,shannon38@adventure-works.com,70000.0,0.0,3839 Northgate Road,,1 (11) 500 555-0110
11010.0,Jacquelyn,C,Suarez,0.0,1969-08-05,S,,F,jacquelyn20@adventure-works.com,70000.0,0.0,7800 Corrinne Court,,1 (11) 500 555-0169
11011.0,Curtis,,Lu,0.0,1969-05-03,M,,M,curtis9@adventure-works.com,60000.0,4.0,1224 Shoenic,,1 (11) 500 555-0117
11012.0,Lauren,M,Walker,0.0,1979-01-14,M,,F,lauren41@adventure-works.com,100000.0,2.0,4785 Scott Street,,717-555-0164
11013.0,Ian,M,Jenkins,0.0,1979-08-03,M,,M,ian47@adventure-works.com,100000.0,2.0,7902 Hudson Ave.,,817-555-0185
11014.0,Sydney,,Bennett,0.0,1973-11-06,S,,F,sydney23@adventure-works.com,100000.0,3.0,9011 Tank Drive,,431-555-0156
11015.0,Chloe,,Young,0.0,1984-08-26,S,,F,chloe23@adventure-works.com,30000.0,0.0,244 Willow Pass Road,,208-555-0142
11016.0,Wyatt,L,Hill,0.0,1984-10-25,M,,M,wyatt32@adventure-works.com,30000.0,0.0,9666 Northridge Ct.,,135-555-0171
11017.0,Shannon,,Wang,0.0,1949-12-24,S,,F,shannon1@adventure-works.com,20000.0,4.0,7330 Saddlehill Lane,,1 (11) 500 555-0195
11018.0,Clarence,D,Rai,0.0,1955-10-06,S,,M,clarence32@adventure-works.com,30000.0,2.0,244 Rivewview,,1 (11) 500 555-0137
11019.0,Luke,L,Lal,0.0,1983-09-04,S,,M,luke18@adventure-works.com,40000.0,0.0,7832 Landing Dr,,262-555-0112
11020.0,Jordan,C,King,0.0,1984-03-19,S,,M,jordan73@adventure-works.com,40000.0,0.0,7156 Rose Dr.,,550-555-0163
